word,PG,source
'Ndrangheta,(in-DRAHN-gay-tah),nsc17/20.txt
'ōhi'a,(OH-HEE-uh),nsc17/03.txt
*kʷ,(kwuh),2018_CMST/07.pdf
-im,(eem),smt/06.txt
-ing,(I-N-G),nsc18/16.txt
-omics,(OH-mix),nsc17/05.txt
-romycin,(roh-MICE-in),2018_ACF_Nationals/06_-_Prelims_6_-_Johns_Hopkins_A_+_Florida.pdf
.NET framework,(dot net),Wiener
.NET,(dot-net),2018_ACF_Regionals/G._Yale_A_+_UT_Dallas_A_+_NCF_A.pdf|nsc18/06.txt|nsc18/15.txt
//ai/,(eye),2015_STIMPY/06._Michigan_A_-_Penn_B.pdf
/au/,(ow),2015_STIMPY/06._Michigan_A_-_Penn_B.pdf
/t/,(tee),2016_Terrapin/Packet_03.pdf
100,(one-zero-zero),2018_IQBT_NASAT/Packet_01.pdf
11,(one-one),2018_IQBT_NASAT/Packet_01.pdf
1s,(one-S),nsc17/02.txt
1s,(one-s),2015_STIMPY/05._Illinois_A_-_VCU_A.pdf
2/4,(two-four),2017_ACF_Fall/CMU_A_Kansas_State_A_Liberty_A_McGill_B.pdf
20 Hrs. 40 Min,(twenty hours forty minutes),nsc18/10.txt
2666,(twenty-six-sixty-six),nsc18/09.txt
2s,(two-ess),2018_ACF_Regionals/C._Michigan_A_+_Berkeley_B_+_MIT_A.pdf
2s,(two-s),2015_STIMPY/05._Illinois_A_-_VCU_A.pdf
3/4,(three-four),2017_ACF_Fall/Gettysburg_A_Georgia_B_Wright_State_A_Zurich.pdf|2017_ACF_Regionals/L_-_Berkeley_A_+_WUSTL_A_+_Northwestern_A_+_Michigan_B.pdf|nsc16/25.txt
3/8,(three-eight),2018_ACF_Regionals/I._Missouri_A_+_JHU_C_+_McGill_A.pdf
4'33,(four minutes thirty three seconds),Wiener
4'33,(four thirty-three),2017_NASAT/Round_03.pdf
4'33,(four-thirty-three),nsc17/20.txt
4/4,(four-four),2018_ACF_Regionals/R._Editors_1.pdf|2018_IQBT_NASAT/Packet_06.pdf
4s,(four-S),nsc18/17.txt
5-dehydro-m-xylylene,(ZYE-lil-een),2016_Terrapin/Packet_03.pdf
5/4,(five-four),2018_IQBT_NASAT/Packet_09.pdf
5s,(five-S),2018_CMST/15.pdf
6/4,(six-four),2018_ACF_Regionals/R._Editors_1.pdf
6/8,(six-eight),2018_ACF_Regionals/S._Editors_2.pdf
7-methylguanosine,(METH-ill-GWAH-noh-seen),nsc18/10.txt
9/16,(nine-sixteen),2018_ACF_Regionals/I._Missouri_A_+_JHU_C_+_McGill_A.pdf
A Coruña,(AH ko-ROON-yah),2018_IQBT_NASAT/Packet_12.pdf
A260,(A-two-sixty),nsc18/12.txt
A280,(A-two-eighty),nsc18/12.txt
AB5,(a-b-five),2017_ACF_Regionals/I_-_Illinois_A_+_UCSD_A.pdf
ACHTUNG,(OK-toong),2018_IQBT_NASAT/Packet_14.pdf
ACK,(ack),2018_CMST/09.pdf
AGAMOUS,(ag-ah-mus),nsc18/15.txt
AGASA,(uh-GAH-sah),Wiener
AIMD,(A-I-M-D),2018_CMST/09.pdf
ALARA,(uh-LARR-uh),nsc17/14.txt
AME,(A-M-E),nsc18/07.txt
AP2,(A-P-two),2018_CMST/03.pdf
APIs,(A-P-I's),nsc17/12.txt
ARCIMBOLDO,(ar-chim-BOL-do),2018_ACF_Nationals/01_-_Prelims_1_-_Oxford_+_Duke.pdf
ARCO,(ARR-ko),nsc18/15.txt
AS,(as),2017_ACF_Regionals/A_-_Maryland_A_+_UCSD_B.pdf
ASCII,(ASK-ee),Wiener
ASS,(A-S-S),nsc18/11.txt
AWS,(A-W-S),nsc18/15.txt
Aachen,(AH-khen),2017_NASAT/Round_02.pdf
Aachen,(OCK-in),Wiener
Aage Oxenvad,(AH-geh OX-en-vahd),2017_ACF_Regionals/F_-_Harvard_A_+_Oxford_B.pdf
Ab Urbe Condita,(ob OOR-bay con-DEE-tuh),Wiener
Abbanes,(ah-BAH-neez),2017_ACF_Regionals/A_-_Maryland_A_+_UCSD_B.pdf
Abbasid,(aab-AA-sid),Wiener
Abbe,(AH-buh),2018_CMST/05.pdf|2018_IQBT_NASAT/Packet_20.pdf
Abbe,(ah-BAY),2017_ACF_Regionals/H_-_Ohio_State_A_+_Caltech_A.pdf
Abbot Suger,(SOO-jair),Wiener
Abbé Sieyès,(ah-BAY s’yay-YESS),nsc18/02.txt
Abdou Diouf,(AHB-doo dyoof),2018_CMST/05.pdf
Abdullah Ocalan,(OTCH-uh-lahn),Wiener
Abdülmecid,(ahb-dool-METCH-eed),Wiener
Abe Masahiro,(AH-bay mah-sah-HEE-roh),Wiener
Abe,(AH-bay),nsc17/02.txt
Abednego,(ah-BED-nuh-go),Wiener
Abegg,(AH-beg),nsc18/12.txt
Abel,(AH-bull),nsc18/22.txt
Abidjan,(ah-BEE-jon),Wiener
Abilene,(AB-uh-leen),2018_IQBT_NASAT/Packet_01.pdf
Abiquiu,(AH-bih-kyoo),Wiener
Abonoteichus,(ah-boh-no-TYKE-us),2017_ACF_Regionals/J_-_Virginia_A_+_Kenyon_+_Yale_A.pdf
Abraj Kudai,(ah-BROJ koo-DAI),Wiener
Abramović,(ah-BRAH-moh-vitch),2018_CMST/11.pdf
Abreu,(ah-BRAY-oo),Wiener
Abu Bakr,(AH-boo BEK-er),Wiener
Abu Simbel,(AA-boo SEEM-bel),Wiener
Abubakar Balewa,(AH-bu-bah-kar bah-LAY-wah),2017_ACF_Regionals/C_-_Maryland_C_+_Toronto_A.pdf
Abubakar Shekau,(SHEE-cow),Wiener
Abuja,(uh-BOO-juh),Wiener
Ac,(ack),nsc17/03.txt
Acciaioli,(AH-chee-eye-OH-lee),2017_ACF_Regionals/N_-_Editors_1.pdf
Acesa,(uh-KEE-suh),2018_CMST/11.pdf
Achaean,(uh-KEE-un),2018_ACF_Nationals/04_-_Prelims_4_-_Maryland_A.pdf
Achaemaenid,(uk-EYE-muh-nid),Wiener
Achaemenid,(uh-KEE-meh-nid),2017_ACF_Regionals/B_-_Maryland_B_+_Oxford_A.pdf
Achaemenid,(uh-KEE-muh-nid),2018_CMST/04.pdf
Achaemenides,(OCK-uh-men-uh-deez),Wiener
Acheiropoieta,(ah-kair-oh-poy-EE-tah),nsc18/05.txt
Achelous,(ASH-uh-LAOS),Wiener
Achelous,(ah-kel-OH-us),nsc17/21.txt
Acheron,(ACK-uh-ron),Wiener
Acheron,(AK-er-on),nsc18/10.txt
Acheulean,(uh-SHOO-lee-in),nsc18/05.txt
Achille Lauro,(ah-KEE-lay),Wiener
Achille,(ah-SHEEL),Wiener
Achilles,(uh-KIL-eez),Wiener
Achse,(OX-uh),2017_ACF_Regionals/G_-_Michigan_A_+_Johns_Hopkins_B.pdf
Aché,(ah-CHAY),2016_Terrapin/Packet_07.pdf
Acis,(AY-kiss),2017_ACF_Regionals/F_-_Harvard_A_+_Oxford_B.pdf
Acqua Felice,(aqua feh-LEE-chay),2017_ACF_Regionals/D_-_Rutgers_A_+_Georgia_A.pdf
Acqui,(AH-kwee),2017_ACF_Regionals/G_-_Michigan_A_+_Johns_Hopkins_B.pdf
Acre,(AH-ker),Wiener
Actaeon,(AK-tee-uhn),Wiener
Ad providam,(ad proh-vee-dahm),2017_ACF_Regionals/P_-_Editors_3.pdf
Adam Mickiewicz,(ah-DOM meets-KYEH-vich),2018_ACF_Regionals/M._JHU_A_+_Oxford_A_+_UNC_L.pdf
Adam Mickiewicz,(ah-DOM meets-kee-EH-vitch),nsc18/18.txt
Adam,(ah-DAHM),2018_CMST/09.pdf|nsc17/08.txt
Adam,(ah-DOM),smt/10.txt
Addis Ababa,(ah-DEES AH-ba-ba),Wiener
Adele Bloch-Bauer,(ah-DEE-lee BLOK BOW-er),Wiener
Adele,(uh-DEL),Wiener
Aden,(AH-den),2018_CMST/03.pdf
Adichie,(uh-DEE-chay),nsc17/17.txt
Adjaye,(AD-jay),2017_NASAT/Round_20--Finals_or_Tiebreaker.pdf
Admetus,(ad-MEET-us),Wiener
Admira Ismic,(ahd-MEE-rah IZ-mitch),2017_ACF_Regionals/F_-_Harvard_A_+_Oxford_B.pdf
Adolphe Thiers,(TEERS),Wiener
Adowa,(AH-doh-ah),Wiener
Adrasteia,(a-DRAS-tee-uh),Wiener
