word,PG,source
'Ndrangheta,(in-DRAHN-gay-tah),nsc17/20.txt
'ōhi'a,(OH-HEE-uh),nsc17/03.txt
(0,0),2018_ACF_Regionals/D._Wright_State_A_+_UIUC_B_+_Chicago_C.pdf
*kʷ,(kwuh),2018_CMST/07.pdf
-ing,(I-N-G),nsc18/16.txt
-omics,(OH-mix),nsc17/05.txt
.NET framework,(dot net),Wiener
.NET,(dot-net),2018_ACF_Regionals/G._Yale_A_+_UT_Dallas_A_+_NCF_A.pdf
.NET,(dot-net),nsc18/06.txt
.NET,(dot-net),nsc18/15.txt
//ai/,(eye),2015_STIMPY/06._Michigan_A_-_Penn_B.pdf
/au/,(ow),2015_STIMPY/06._Michigan_A_-_Penn_B.pdf
/t/,(tee),2016_Terrapin/Packet_03.pdf
0,10,2018_CMST/07.pdf
100,(one-zero-zero),2018_IQBT_NASAT/Packet_01.pdf
11,(one-one),2018_IQBT_NASAT/Packet_01.pdf
1s,(one-S),nsc17/02.txt
1s,(one-s),2015_STIMPY/05._Illinois_A_-_VCU_A.pdf
2/4,(two-four),2017_ACF_Fall/CMU_A_Kansas_State_A_Liberty_A_McGill_B.pdf
20 Hrs. 40 Min,(twenty hours forty minutes),nsc18/10.txt
24,(Emergency),nsc18/24.txt
2666,(twenty-six-sixty-six),nsc18/09.txt
2s,(two-ess),2018_ACF_Regionals/C._Michigan_A_+_Berkeley_B_+_MIT_A.pdf
2s,(two-s),2015_STIMPY/05._Illinois_A_-_VCU_A.pdf
3/4,(three-four),2017_ACF_Fall/Gettysburg_A_Georgia_B_Wright_State_A_Zurich.pdf
3/8,(three-eight),2018_ACF_Regionals/I._Missouri_A_+_JHU_C_+_McGill_A.pdf
4'33,(four minutes,Wiener
4'33,(four thirty-three),2017_NASAT/Round_03.pdf
4'33,(four-thirty-three),nsc17/20.txt
4/4,(four-four),2018_ACF_Regionals/R._Editors_1.pdf
4/4,(four-four),2018_IQBT_NASAT/Packet_06.pdf
4s,(four-S),nsc18/17.txt
5-dehydro-m-xylylene,(ZYE-lil-een),2016_Terrapin/Packet_03.pdf
5/4,(five-four),2018_IQBT_NASAT/Packet_09.pdf
5s,(five-S),2018_CMST/15.pdf
6/4,(six-four),2018_ACF_Regionals/R._Editors_1.pdf
6/8,(six-eight),2018_ACF_Regionals/S._Editors_2.pdf
7-methylguanosine,(METH-ill-GWAH-noh-seen),nsc18/10.txt
9/16,(nine-sixteen),2018_ACF_Regionals/I._Missouri_A_+_JHU_C_+_McGill_A.pdf
A Coruña,(AH ko-ROON-yah),2018_IQBT_NASAT/Packet_12.pdf
A ppp,(triple piano),2018_IQBT_NASAT/Packet_01.pdf
A260,(A-two-sixty),nsc18/12.txt
A280,(A-two-eighty),nsc18/12.txt
ACHTUNG,(OK-toong),2018_IQBT_NASAT/Packet_14.pdf
ACK,(ack),2018_CMST/09.pdf
AGAMOUS,(ag-ah-mus),nsc18/15.txt
AGASA,(uh-GAH-sah),Wiener
AIMD,(A-I-M-D),2018_CMST/09.pdf
ALARA,(uh-LARR-uh),nsc17/14.txt
AME,(A-M-E),nsc18/07.txt
AP2,(A-P-two),2018_CMST/03.pdf
APIs,(A-P-I's),nsc17/12.txt
ARCO,(ARR-ko),nsc18/15.txt
ASCII,(ASK-ee),Wiener
ASS,(A-S-S),nsc18/11.txt
AWS,(A-W-S),nsc18/15.txt
Aachen,(AH-khen),2017_NASAT/Round_02.pdf
Aachen,(OCK-in),Wiener
Ab Urbe Condita,(ob OOR-bay con-DEE-tuh),Wiener
Abbasid,(aab-AA-sid),Wiener
Abbe,(AH-buh),2018_CMST/05.pdf
Abbe,(AH-buh),2018_IQBT_NASAT/Packet_20.pdf
Abbot Suger,(SOO-jair),Wiener
Abbé Sieyès,(ah-BAY s’yay-YESS),nsc18/02.txt
Abdou Diouf,(AHBdoo dyoof),2018_CMST/05.pdf
Abdullah Ocalan,(OTCH-uh-lahn),Wiener
Abdülmecid,(ahb-dool-METCH-eed),Wiener
Abe Masahiro,(AH-bay mah-sah-HEE-roh),Wiener
Abe,(AH-bay),nsc17/02.txt
Abednego,(ah-BED-nuh-go),Wiener
Abegg,(AH-beg),nsc18/12.txt
Abel,(AH-bull),nsc18/22.txt
Abidjan,(ah-BEE-jon),Wiener
Abilene,(AB-uh-leen),2018_IQBT_NASAT/Packet_01.pdf
Abiquiu,(AH-bih-kyoo),Wiener
Abraj Kudai,(ah-BROJ koo-DAI),Wiener
Abramović,(ah-BRAHmoh-vitch),2018_CMST/11.pdf
Abreu,(ah-BRAY-oo),Wiener
Abu Bakr,(AH-boo BEK-er),Wiener
Abu Simbel,(AA-boo SEEM-bel),Wiener
Abubakar Shekau,(SHEE-cow),Wiener
Abuja,(uh-BOO-juh),Wiener
Ac,(ack),nsc17/03.txt
Acesa,(uh-KEE-suh),2018_CMST/11.pdf
Achaemaenid,(uk-EYE-muh-nid),Wiener
Achaemenid,(uh-KEE-muh-nid),2018_CMST/04.pdf
Achaemenides,(OCK-uh-men-uh-deez),Wiener
Acheiropoieta,(ah-kair-oh-poy-EE-tah),nsc18/05.txt
Achelous,(ASH-uh-LAOS),Wiener
Achelous,(ah-kel-OH-us),nsc17/21.txt
Acheron,(ACK-uh-ron),Wiener
Acheron,(AK-er-on),nsc18/10.txt
Acheulean,(uh-SHOO-lee-in),nsc18/05.txt
Achille Lauro,(ah-KEE-lay),Wiener
Achille,(ah-SHEEL),Wiener
Achilles,(uh-KIL-eez),Wiener
Aché,(ah-CHAY),2016_Terrapin/Packet_07.pdf
Acre,(AH-ker),Wiener
Actaeon,(AK-tee-uhn),Wiener
Adam Mickiewicz,(ah-DOM meets-KYEH-vich),2018_ACF_Regionals/M._JHU_A_+_Oxford_A_+_UNC_L.pdf
Adam Mickiewicz,(ah-DOM meets-kee-EH-vitch),nsc18/18.txt
Adam,(ah-DAHM),2018_CMST/09.pdf
Adam,(ah-DAHM),nsc17/08.txt
Addis Ababa,(ah-DEES AH-ba-ba),Wiener
Adele Bloch-Bauer,(ah-DEE-lee BLOK BOW-er),Wiener
Adele,(uh-DEL),Wiener
Aden,(AH-den),2018_CMST/03.pdf
Adichie,(uh-DEE-chay),nsc17/17.txt
Adjaye,(AD-jay),2017_NASAT/Round_20--Finals_or_Tiebreaker.pdf
Admetus,(ad-MEET-us),Wiener
Adolphe Thiers,(TEERS),Wiener
Adowa,(AH-doh-ah),Wiener
Adrasteia,(a-DRAS-tee-uh),Wiener
Adziogol,(AH-jig-ohl),2018_IQBT_NASAT/Packet_12.pdf
Adès,(ADD-iss),2018_CMST/13.pdf
Adès,(ADD-iss),2018_IQBT_NASAT/Packet_14.pdf
Aeacus,(EE-uh-kuss),Wiener
Aeaea,(EYE-ee-uh),Wiener
Aeaea,(ee-EE-uh),2018_CMST/14.pdf
Aeaea,(ee-EE-uh),nsc18/09.txt
Aedicule,(EE-dih-kyool),2018_CMST/09.pdf
Aeetes,(ai-EE-teez),Wiener
Aegean,(uh-JEE-un),Wiener
Aegeus,(EE-gee-us),nsc17/21.txt
Aegeus,(EE-jee-us),Wiener
Aegeus,(ee-JEE-us),2018_CMST/06.pdf
Aegir,(EY-jeer),Wiener
Aegisthus,(eye-JIS-thiss),Wiener
Aegospotami,(ee-goh-SPOH-tuh-mai),Wiener
Aegyptus,(ih-JIPtus),2018_CMST/05.pdf
Aelia,(eye-LEE-uh),Wiener
Aeneas,(eh-NEE-uhs),Wiener
Aeneas,(ih-NEE-is),2018_CMST/07.pdf
Aeneid,(ih-NEE-id),2018_CMST/07.pdf
Aeneid,(uh-NEE-id),Wiener
Aeolian,(ee-OH-lee-an),nsc18/01.txt
Aeolian,(ee-OH-lee-an),nsc18/09.txt
Aeolic,(ai-OH-lik),Wiener
Aeolus,(ee-OHL-iss),Wiener
Aequi,(EYE-kwee),Wiener
Aesacus,(eye-SAY-kuss),2018_IQBT_NASAT/Packet_17.pdf
Aeschines,(ICE-kuh-neez),Wiener
Aeschines,(ISS-kin-eez),nsc18/09.txt
Aeschnogomphus,(esk-no-GOM-fus),2017_NASAT/Round_02.pdf
Aeschylus,(ESK-uh-liss),Wiener
Aeschylus,(ESS-kuh-luss),2018_CMST/02.pdf
Aesir,(AY-seer),2018_CMST/06.pdf
Aesir,(EY-seer),Wiener
